Mitigated agent 3: deviation=129.11, median=8.51, weight=0.04, threshold=123.89, original=137.62, new=132.41
[Mitigation in PlayerOptimizationMsgMitigated] Agent 0 -> Partner 4: deviation=2505.55, median=104.62, threshold=1360.10, corrected=-1255.48
Mitigated agent 0: deviation=378.36, median=180.25, weight=0.65, threshold=132.76, original=-198.11, new=47.49
Mitigated agent 4: deviation=1774.42, median=-57.91, weight=0.31, threshold=1223.56, original=1716.50, new=1165.65
Mitigated agent 4: deviation=2505.55, median=104.62, weight=0.46, threshold=1360.10, original=-2400.93, new=-1255.48
Mitigated agent 0: deviation=163.96, median=122.78, weight=0.21, threshold=130.03, original=-41.19, new=-7.25
[Mitigation in PlayerOptimizationMsgMitigated] Agent 7 -> Partner 0: deviation=378.36, median=180.25, threshold=132.76, corrected=47.49
[Mitigation in PlayerOptimizationMsgMitigated] Agent 0 -> Partner 4: deviation=2060.12, median=30.60, threshold=1679.27, corrected=-1648.66
[Mitigation in PlayerOptimizationMsgMitigated] Agent 2 -> Partner 4: deviation=1653.92, median=-35.27, threshold=654.10, corrected=618.84
[Mitigation in PlayerOptimizationMsgMitigated] Agent 2 -> Partner 0: deviation=1017.97, median=-35.27, threshold=654.10, corrected=-689.37
Mitigated agent 4: deviation=2060.12, median=30.60, weight=0.18, threshold=1679.27, original=-2029.52, new=-1648.66
Mitigated agent 4: deviation=1653.92, median=-35.27, weight=0.60, threshold=654.10, original=1618.65, new=618.84
Mitigated agent 0: deviation=1017.97, median=-35.27, weight=0.36, threshold=654.10, original=-1053.24, new=-689.37
[Mitigation in PlayerOptimizationMsgMitigated] Agent 2 -> Partner 4: deviation=1029.69, median=45.08, threshold=813.16, corrected=858.24
[Mitigation in PlayerOptimizationMsgMitigated] Agent 2 -> Partner 0: deviation=1149.31, median=45.08, threshold=813.16, corrected=-768.09
Mitigated agent 4: deviation=1029.69, median=45.08, weight=0.21, threshold=813.16, original=1074.77, new=858.24
Mitigated agent 0: deviation=1149.31, median=45.08, weight=0.29, threshold=813.16, original=-1104.24, new=-768.09
[Mitigation in PlayerOptimizationMsgMitigated] Agent 2 -> Partner 0: deviation=882.06, median=110.03, threshold=793.08, corrected=-683.05
Mitigated agent 0: deviation=882.06, median=110.03, weight=0.10, threshold=793.08, original=-772.04, new=-683.05
[Mitigation in PlayerOptimizationMsgMitigated] Agent 7 -> Partner 0: deviation=3089.13, median=-840.02, threshold=2996.22, corrected=2156.20
[Mitigation in PlayerOptimizationMsgMitigated] Agent 1 -> Partner 0: deviation=3172.97, median=-844.32, threshold=2810.56, corrected=1966.23
Mitigated agent 0: deviation=3089.13, median=-840.02, weight=0.03, threshold=2996.22, original=2249.11, new=2156.20
Mitigated agent 0: deviation=2810.56, median=-844.32, weight=0.00, threshold=2810.56, original=1966.23, new=1966.23
[Mitigation in PlayerOptimizationMsgMitigated] Agent 7 -> Partner 0: deviation=3308.03, median=-910.42, threshold=2306.74, corrected=1396.32
[Mitigation in PlayerOptimizationMsgMitigated] Agent 1 -> Partner 0: deviation=3393.24, median=-915.10, threshold=2109.72, corrected=1194.61
Mitigated agent 0: deviation=3308.03, median=-910.42, weight=0.30, threshold=2306.74, original=2397.62, new=1396.32
Mitigated agent 0: deviation=3393.24, median=-915.10, weight=0.38, threshold=2109.72, original=2478.14, new=1194.61
[Mitigation in PlayerOptimizationMsgMitigated] Agent 2 -> Partner 4: deviation=6873.53, median=478.84, threshold=6549.74, corrected=-6070.89
[Mitigation in PlayerOptimizationMsgMitigated] Agent 7 -> Partner 0: deviation=3690.66, median=-1105.63, threshold=2049.28, corrected=943.65
[Mitigation in PlayerOptimizationMsgMitigated] Agent 5 -> Partner 0: deviation=2170.14, median=-630.16, threshold=1993.57, corrected=1363.41
[Mitigation in PlayerOptimizationMsgMitigated] Agent 1 -> Partner 0: deviation=3515.03, median=-1025.65, threshold=1840.90, corrected=815.25
Mitigated agent 4: deviation=6873.53, median=478.84, weight=0.05, threshold=6549.74, original=-6394.69, new=-6070.89
Mitigated agent 0: deviation=2170.14, median=-630.16, weight=0.08, threshold=1993.57, original=1539.98, new=1363.41
Mitigated agent 0: deviation=3515.03, median=-1025.65, weight=0.48, threshold=1840.90, original=2489.38, new=815.25
Mitigated agent 0: deviation=3690.66, median=-1105.63, weight=0.44, threshold=2049.28, original=2585.03, new=943.65
[Mitigation in PlayerOptimizationMsgMitigated] Agent 2 -> Partner 4: deviation=7424.18, median=380.86, threshold=5863.01, corrected=-5482.15
[Mitigation in PlayerOptimizationMsgMitigated] Agent 1 -> Partner 0: deviation=2935.20, median=-927.17, threshold=930.84, corrected=3.67
[Mitigation in PlayerOptimizationMsgMitigated] Agent 7 -> Partner 0: deviation=3384.73, median=-1086.17, threshold=1150.59, corrected=64.42
[Mitigation in PlayerOptimizationMsgMitigated] Agent 5 -> Partner 0: deviation=2691.43, median=-848.08, threshold=1094.87, corrected=246.79
Mitigated agent 4: deviation=7424.18, median=380.86, weight=0.21, threshold=5863.01, original=-7043.32, new=-5482.15
Mitigated agent 0: deviation=3384.73, median=-1086.17, weight=0.66, threshold=1150.59, original=2298.56, new=64.42
Mitigated agent 0: deviation=2935.20, median=-927.17, weight=0.68, threshold=930.84, original=2008.03, new=3.67
[Mitigation in PlayerOptimizationMsgMitigated] Agent 0 -> Partner 4: deviation=11330.51, median=-341.22, threshold=5506.90, corrected=5165.68
[Mitigation in PlayerOptimizationMsgMitigated] Agent 5 -> Partner 0: deviation=3080.18, median=-917.92, threshold=1824.11, corrected=906.19
[Mitigation in PlayerOptimizationMsgMitigated] Agent 3 -> Partner 4: deviation=3694.47, median=113.25, threshold=2310.15, corrected=-2196.90
[Mitigation in PlayerOptimizationMsgMitigated] Agent 2 -> Partner 4: deviation=7611.27, median=200.86, threshold=3154.41, corrected=-2953.55
[Mitigation in PlayerOptimizationMsgMitigated] Agent 2 -> Partner 0: deviation=3780.33, median=200.86, threshold=3154.41, corrected=3355.27
[Mitigation in PlayerOptimizationMsgMitigated] Agent 7 -> Partner 0: deviation=2463.23, median=-740.72, threshold=1768.39, corrected=1027.67
Mitigated agent 4: deviation=3694.47, median=113.25, weight=0.37, threshold=2310.15, original=-3581.23, new=-2196.90
Mitigated agent 0: deviation=3080.18, median=-917.92, weight=0.41, threshold=1824.11, original=2162.26, new=906.19
Mitigated agent 4: deviation=7611.27, median=200.86, weight=0.59, threshold=3154.41, original=-7410.41, new=-2953.55
Mitigated agent 0: deviation=3780.33, median=200.86, weight=0.17, threshold=3154.41, original=3981.19, new=3355.27
Mitigated agent 0: deviation=858.65, median=-204.65, weight=0.64, threshold=307.63, original=654.00, new=102.98
Mitigated agent 4: deviation=11330.51, median=-341.22, weight=0.51, threshold=5506.90, original=10989.30, new=5165.68
[Mitigation in PlayerOptimizationMsgMitigated] Agent 6 -> Partner 0: deviation=858.65, median=-204.65, threshold=307.63, corrected=102.98
[Mitigation in PlayerOptimizationMsgMitigated] Agent 3 -> Partner 4: deviation=4531.32, median=302.20, threshold=1961.28, corrected=-1659.07
[Mitigation in PlayerOptimizationMsgMitigated] Agent 2 -> Partner 4: deviation=7156.04, median=200.41, threshold=2005.98, corrected=-1805.57
[Mitigation in PlayerOptimizationMsgMitigated] Agent 2 -> Partner 0: deviation=3969.31, median=200.41, threshold=2005.98, corrected=2206.39
[Mitigation in PlayerOptimizationMsgMitigated] Agent 0 -> Partner 4: deviation=11804.04, median=-621.63, threshold=4669.19, corrected=4047.56
Mitigated agent 4: deviation=7156.04, median=200.41, weight=0.72, threshold=2005.98, original=-6955.63, new=-1805.57
Mitigated agent 0: deviation=3969.31, median=200.41, weight=0.49, threshold=2005.98, original=4169.72, new=2206.39
Mitigated agent 4: deviation=4531.32, median=302.20, weight=0.57, threshold=1961.28, original=-4229.12, new=-1659.07
Mitigated agent 4: deviation=11804.04, median=-621.63, weight=0.60, threshold=4669.19, original=11182.40, new=4047.56
[Mitigation in PlayerOptimizationMsgMitigated] Agent 3 -> Partner 4: deviation=3368.55, median=236.38, threshold=2516.48, corrected=-2280.10
[Mitigation in PlayerOptimizationMsgMitigated] Agent 2 -> Partner 0: deviation=3705.82, median=-88.26, threshold=3611.33, corrected=3523.07
Mitigated agent 4: deviation=3368.55, median=236.38, weight=0.25, threshold=2516.48, original=-3132.17, new=-2280.10
Mitigated agent 0: deviation=3705.82, median=-88.26, weight=0.03, threshold=3611.33, original=3617.56, new=3523.07
[Mitigation in PlayerOptimizationMsgMitigated] Agent 7 -> Partner 0: deviation=81290.17, median=25350.90, threshold=79908.32, corrected=-54557.42
Mitigated agent 0: deviation=81290.17, median=25350.90, weight=0.02, threshold=79908.32, original=-55939.27, new=-54557.42
[Mitigation in PlayerOptimizationMsgMitigated] Agent 7 -> Partner 0: deviation=84671.53, median=26460.97, threshold=80028.77, corrected=-53567.79
Mitigated agent 0: deviation=84671.53, median=26460.97, weight=0.05, threshold=80028.77, original=-58210.56, new=-53567.79
[Mitigation in PlayerOptimizationMsgMitigated] Agent 7 -> Partner 0: deviation=86826.88, median=27168.88, threshold=80147.00, corrected=-52978.12
Mitigated agent 0: deviation=86826.88, median=27168.88, weight=0.08, threshold=80147.00, original=-59658.00, new=-52978.12
[Mitigation in PlayerOptimizationMsgMitigated] Agent 7 -> Partner 0: deviation=86145.50, median=26934.55, threshold=80272.74, corrected=-53338.19
[Mitigation in PlayerOptimizationMsgMitigated] Agent 1 -> Partner 0: deviation=84192.26, median=26279.61, threshold=81094.69, corrected=-54815.08
Mitigated agent 0: deviation=86145.50, median=26934.55, weight=0.07, threshold=80272.74, original=-59210.96, new=-53338.19
Mitigated agent 0: deviation=81094.69, median=26279.61, weight=0.00, threshold=81094.69, original=-54815.08, new=-54815.08
[Mitigation in PlayerOptimizationMsgMitigated] Agent 7 -> Partner 0: deviation=83352.35, median=25989.29, threshold=80401.47, corrected=-54412.18
[Mitigation in PlayerOptimizationMsgMitigated] Agent 1 -> Partner 0: deviation=88133.67, median=27571.35, threshold=81234.79, corrected=-53663.43
Mitigated agent 0: deviation=83352.35, median=25989.29, weight=0.04, threshold=80401.47, original=-57363.06, new=-54412.18
[Mitigation in PlayerOptimizationMsgMitigated] Agent 7 -> Partner 0: deviation=80664.28, median=25089.86, threshold=80523.46, corrected=-55433.60
Mitigated agent 0: deviation=89436.17, median=27997.80, weight=0.09, threshold=81368.13, original=-61438.37, new=-53370.34
[Mitigation in PlayerOptimizationMsgMitigated] Agent 1 -> Partner 0: deviation=89436.17, median=27997.80, threshold=81368.13, corrected=-53370.34
Mitigated agent 0: deviation=90512.86, median=24716.48, weight=0.11, threshold=80645.44, original=-65796.38, new=-55928.96
Mitigated agent 0: deviation=99249.81, median=27287.12, weight=0.18, threshold=81501.48, original=-71962.69, new=-54214.36
[Mitigation in PlayerOptimizationMsgMitigated] Agent 1 -> Partner 0: deviation=94417.25, median=25748.08, threshold=67558.93, corrected=-41810.84
[Mitigation in PlayerOptimizationMsgMitigated] Agent 7 -> Partner 0: deviation=90079.76, median=24616.57, threshold=66691.53, corrected=-42074.96
[Mitigation in PlayerOptimizationMsgMitigated] Agent 5 -> Partner 0: deviation=67086.35, median=17922.47, threshold=66642.24, corrected=-48719.77
Mitigated agent 0: deviation=67086.35, median=17922.47, weight=0.01, threshold=66642.24, original=-49163.89, new=-48719.77
Mitigated agent 0: deviation=90079.76, median=24616.57, weight=0.26, threshold=66691.53, original=-65463.19, new=-42074.96
Mitigated agent 0: deviation=94417.25, median=25748.08, weight=0.28, threshold=67558.93, original=-68669.16, new=-41810.84
[Mitigation in PlayerOptimizationMsgMitigated] Agent 7 -> Partner 0: deviation=90079.76, median=24616.57, threshold=66691.53, corrected=-42074.96
[Mitigation in PlayerOptimizationMsgMitigated] Agent 5 -> Partner 0: deviation=67086.35, median=17922.47, threshold=66642.24, corrected=-48719.77
[Mitigation in PlayerOptimizationMsgMitigated] Agent 2 -> Partner 4: deviation=193665.13, median=-17895.73, threshold=182716.16, corrected=164820.43
[Mitigation in PlayerOptimizationMsgMitigated] Agent 0 -> Partner 4: deviation=308225.78, median=31405.83, threshold=268731.67, corrected=-237325.84
[Mitigation in PlayerOptimizationMsgMitigated] Agent 1 -> Partner 0: deviation=87611.78, median=25704.46, threshold=60774.87, corrected=-35070.41
Mitigated agent 4: deviation=193665.13, median=-17895.73, weight=0.06, threshold=182716.16, original=175769.40, new=164820.43
Mitigated agent 4: deviation=308225.78, median=31405.83, weight=0.13, threshold=268731.67, original=-276819.96, new=-237325.84
Mitigated agent 0: deviation=77141.50, median=22812.35, weight=0.22, threshold=59846.82, original=-54329.15, new=-37034.46
Mitigated agent 0: deviation=88049.19, median=25991.65, weight=0.32, threshold=59896.10, original=-62057.54, new=-33904.46
[Mitigation in PlayerOptimizationMsgMitigated] Agent 3 -> Partner 4: deviation=121788.77, median=-12559.33, threshold=105232.39, corrected=92673.06
[Mitigation in PlayerOptimizationMsgMitigated] Agent 2 -> Partner 4: deviation=202310.00, median=-16005.03, threshold=173899.23, corrected=157894.19
[Mitigation in PlayerOptimizationMsgMitigated] Agent 1 -> Partner 0: deviation=67578.10, median=23045.70, threshold=33501.78, corrected=-10456.08
[Mitigation in PlayerOptimizationMsgMitigated] Agent 0 -> Partner 4: deviation=324470.80, median=28929.72, threshold=189953.94, corrected=-161024.22
[Mitigation in PlayerOptimizationMsgMitigated] Agent 7 -> Partner 0: deviation=70387.10, median=23964.29, threshold=32611.65, corrected=-8647.36
[Mitigation in PlayerOptimizationMsgMitigated] Agent 5 -> Partner 0: deviation=84754.38, median=28721.41, threshold=32562.37, corrected=-3840.96
Mitigated agent 0: deviation=67578.10, median=23045.70, weight=0.50, threshold=33501.78, original=-44532.40, new=-10456.08
Mitigated agent 4: deviation=121788.77, median=-12559.33, weight=0.14, threshold=105232.39, original=109229.45, new=92673.06
Mitigated agent 4: deviation=202310.00, median=-16005.03, weight=0.14, threshold=173899.23, original=186304.96, new=157894.19
Mitigated agent 4: deviation=324470.80, median=28929.72, weight=0.41, threshold=189953.94, original=-295541.08, new=-161024.22
[Mitigation in PlayerOptimizationMsgMitigated] Agent 1 -> Partner 0: deviation=67578.10, median=23045.70, threshold=33501.78, corrected=-10456.08
[Mitigation in PlayerOptimizationMsgMitigated] Agent 3 -> Partner 4: deviation=114820.54, median=-7095.65, threshold=85893.76, corrected=78798.11
[Mitigation in PlayerOptimizationMsgMitigated] Agent 2 -> Partner 4: deviation=185936.79, median=-8608.10, threshold=89239.57, corrected=80631.47
[Mitigation in PlayerOptimizationMsgMitigated] Agent 0 -> Partner 4: deviation=304091.12, median=19030.88, threshold=77530.35, corrected=-58499.47
Mitigated agent 4: deviation=185936.79, median=-8608.10, weight=0.52, threshold=89239.57, original=177328.68, new=80631.47
Mitigated agent 4: deviation=114820.54, median=-7095.65, weight=0.25, threshold=85893.76, original=107724.89, new=78798.11
Mitigated agent 0: deviation=35229.80, median=17362.45, weight=0.58, threshold=14795.69, original=-17867.35, new=2566.76
Mitigated agent 0: deviation=37594.35, median=18060.35, weight=0.63, threshold=13894.20, original=-19533.99, new=4166.15
Mitigated agent 0: deviation=25988.20, median=13529.52, weight=0.56, threshold=11308.44, original=-12458.68, new=2221.08
Mitigated agent 0: deviation=67617.74, median=27806.84, weight=0.80, threshold=13844.92, original=-39810.90, new=13961.92
[Mitigation in PlayerOptimizationMsgMitigated] Agent 1 -> Partner 0: deviation=35229.80, median=17362.45, threshold=14795.69, corrected=2566.76
[Mitigation in PlayerOptimizationMsgMitigated] Agent 0 -> Partner 4: deviation=209936.43, median=4171.89, threshold=125944.19, corrected=-121772.30
[Mitigation in PlayerOptimizationMsgMitigated] Agent 2 -> Partner 4: deviation=131691.33, median=1741.71, threshold=59812.94, corrected=61554.65
[Mitigation in PlayerOptimizationMsgMitigated] Agent 2 -> Partner 0: deviation=71287.67, median=1741.71, threshold=59812.94, corrected=-58071.24
[Mitigation in PlayerOptimizationMsgMitigated] Agent 3 -> Partner 4: deviation=71002.99, median=1326.17, threshold=59827.94, corrected=61154.11
[Mitigation in PlayerOptimizationMsgMitigated] Agent 4 -> Partner 0: deviation=107526.16, median=-77866.63, threshold=100942.90, corrected=23076.26
Mitigated agent 4: deviation=131691.33, median=1741.71, weight=0.55, threshold=59812.94, original=133433.04, new=61554.65
Mitigated agent 0: deviation=71287.67, median=1741.71, weight=0.16, threshold=59812.94, original=-69545.96, new=-58071.24
Mitigated agent 4: deviation=209936.43, median=4171.89, weight=0.40, threshold=125944.19, original=-205764.53, new=-121772.30
Mitigated agent 0: deviation=100942.90, median=-77866.63, weight=0.00, threshold=100942.90, original=23076.26, new=23076.26
Mitigated agent 4: deviation=71002.99, median=1326.17, weight=0.16, threshold=59827.94, original=72329.15, new=61154.11
[Mitigation in PlayerOptimizationMsgMitigated] Agent 7 -> Partner 0: deviation=2927694.11, median=-911260.89, threshold=2910891.85, corrected=1999630.96
Mitigated agent 0: deviation=2927694.11, median=-911260.89, weight=0.01, threshold=2910891.85, original=2016433.22, new=1999630.96
[Mitigation in PlayerOptimizationMsgMitigated] Agent 7 -> Partner 0: deviation=3038440.78, median=-946476.90, threshold=2986789.64, corrected=2040312.74
[Mitigation in PlayerOptimizationMsgMitigated] Agent 1 -> Partner 0: deviation=3006194.68, median=-935734.30, threshold=2985433.66, corrected=2049699.35
Mitigated agent 0: deviation=3038440.78, median=-946476.90, weight=0.02, threshold=2986789.64, original=2091963.88, new=2040312.74
Mitigated agent 0: deviation=3006194.68, median=-935734.30, weight=0.01, threshold=2985433.66, original=2070460.37, new=2049699.35
[Mitigation in PlayerOptimizationMsgMitigated] Agent 7 -> Partner 0: deviation=3134485.72, median=-976783.70, threshold=3062687.42, corrected=2085903.72
[Mitigation in PlayerOptimizationMsgMitigated] Agent 1 -> Partner 0: deviation=3117880.02, median=-971255.04, threshold=3061320.08, corrected=2090065.04
Mitigated agent 0: deviation=3134485.72, median=-976783.70, weight=0.02, threshold=3062687.42, original=2157702.03, new=2085903.72
[Mitigation in PlayerOptimizationMsgMitigated] Agent 1 -> Partner 0: deviation=3215755.09, median=-1002178.89, threshold=3137206.50, corrected=2135027.61
[Mitigation in PlayerOptimizationMsgMitigated] Agent 7 -> Partner 0: deviation=3202632.52, median=-997797.71, threshold=3138585.20, corrected=2140787.49
Mitigated agent 0: deviation=3215755.09, median=-1002178.89, weight=0.02, threshold=3137206.50, original=2213576.20, new=2135027.61
[Mitigation in PlayerOptimizationMsgMitigated] Agent 7 -> Partner 0: deviation=3253922.90, median=-1013185.48, threshold=3214891.97, corrected=2201706.50
[Mitigation in PlayerOptimizationMsgMitigated] Agent 1 -> Partner 0: deviation=3285322.54, median=-1023659.30, threshold=3213501.91, corrected=2189842.60
Mitigated agent 0: deviation=3253922.90, median=-1013185.48, weight=0.01, threshold=3214891.97, original=2240737.43, new=2201706.50
[Mitigation in PlayerOptimizationMsgMitigated] Agent 7 -> Partner 0: deviation=3304121.35, median=-1028231.50, threshold=3290789.76, corrected=2262558.25
[Mitigation in PlayerOptimizationMsgMitigated] Agent 1 -> Partner 0: deviation=3331780.95, median=-1037458.87, threshold=3289388.33, corrected=2251929.46
Mitigated agent 0: deviation=3304121.35, median=-1028231.50, weight=0.00, threshold=3290789.76, original=2275889.84, new=2262558.25
Mitigated agent 0: deviation=3331780.95, median=-1037458.87, weight=0.01, threshold=3289388.33, original=2294322.08, new=2251929.46
[Mitigation in PlayerOptimizationMsgMitigated] Agent 1 -> Partner 0: deviation=3370870.48, median=-1048808.08, threshold=3365274.75, corrected=2316466.66
Mitigated agent 0: deviation=3365274.75, median=-1048808.08, weight=0.00, threshold=3365274.75, original=2316466.66, new=2316466.66
[Mitigation in PlayerOptimizationMsgMitigated] Agent 5 -> Partner 0: deviation=3473538.85, median=-1081339.53, threshold=3442634.61, corrected=2361295.08
Mitigated agent 0: deviation=3473538.85, median=-1081339.53, weight=0.01, threshold=3442634.61, original=2392199.32, new=2361295.08
[Mitigation in PlayerOptimizationMsgMitigated] Agent 5 -> Partner 0: deviation=3590448.86, median=-1118624.16, threshold=3518532.39, corrected=2399908.23
[Mitigation in PlayerOptimizationMsgMitigated] Agent 5 -> Partner 0: deviation=3681359.08, median=-1147240.19, threshold=3594430.17, corrected=2447189.99
Mitigated agent 0: deviation=3681359.08, median=-1147240.19, weight=0.02, threshold=3594430.17, original=2534118.90, new=2447189.99
[Mitigation in PlayerOptimizationMsgMitigated] Agent 5 -> Partner 0: deviation=3736558.97, median=-1163952.32, threshold=3670327.95, corrected=2506375.63
Mitigated agent 0: deviation=3736558.97, median=-1163952.32, weight=0.02, threshold=3670327.95, original=2572606.64, new=2506375.63
[Mitigation in PlayerOptimizationMsgMitigated] Agent 7 -> Partner 0: deviation=4216199.50, median=-1151907.85, threshold=3746176.45, corrected=2594268.60
[Mitigation in PlayerOptimizationMsgMitigated] Agent 5 -> Partner 0: deviation=4291427.53, median=-1174032.34, threshold=3746225.74, corrected=2572193.39
Mitigated agent 0: deviation=4216199.50, median=-1151907.85, weight=0.11, threshold=3746176.45, original=3064291.65, new=2594268.60
Mitigated agent 0: deviation=4184609.64, median=-1142626.18, weight=0.11, threshold=3744706.85, original=3041983.46, new=2602080.66
Mitigated agent 0: deviation=4291427.53, median=-1174032.34, weight=0.13, threshold=3746225.74, original=3117395.18, new=2572193.39
[Mitigation in PlayerOptimizationMsgMitigated] Agent 1 -> Partner 0: deviation=4217816.09, median=-1153440.96, threshold=3812848.76, corrected=2659407.80
[Mitigation in PlayerOptimizationMsgMitigated] Agent 7 -> Partner 0: deviation=4255136.16, median=-1164694.41, threshold=3814329.73, corrected=2649635.32
[Mitigation in PlayerOptimizationMsgMitigated] Agent 5 -> Partner 0: deviation=4292894.85, median=-1174476.66, threshold=3814379.01, corrected=2639902.36
Mitigated agent 0: deviation=4255136.16, median=-1164694.41, weight=0.10, threshold=3814329.73, original=3090441.75, new=2649635.32
Mitigated agent 0: deviation=4217816.09, median=-1153440.96, weight=0.10, threshold=3812848.76, original=3064375.13, new=2659407.80
Mitigated agent 0: deviation=4292894.85, median=-1174476.66, weight=0.11, threshold=3814379.01, original=3118418.20, new=2639902.36
[Mitigation in PlayerOptimizationMsgMitigated] Agent 7 -> Partner 0: deviation=4286902.89, median=-1260051.91, threshold=3886742.48, corrected=2626690.57
[Mitigation in PlayerOptimizationMsgMitigated] Agent 5 -> Partner 0: deviation=4261380.12, median=-1250215.42, threshold=3886791.77, corrected=2636576.35
[Mitigation in PlayerOptimizationMsgMitigated] Agent 1 -> Partner 0: deviation=4271927.96, median=-1255627.42, threshold=3885250.16, corrected=2629622.74
Mitigated agent 0: deviation=4261380.12, median=-1250215.42, weight=0.09, threshold=3886791.77, original=3011164.70, new=2636576.35
Mitigated agent 0: deviation=4286902.89, median=-1260051.91, weight=0.09, threshold=3886742.48, original=3026850.98, new=2626690.57
Mitigated agent 0: deviation=4271927.96, median=-1255627.42, weight=0.09, threshold=3885250.16, original=3016300.54, new=2629622.74
[Mitigation in PlayerOptimizationMsgMitigated] Agent 1 -> Partner 0: deviation=4271927.96, median=-1255627.42, threshold=3885250.16, corrected=2629622.74
[Mitigation in PlayerOptimizationMsgMitigated] Agent 7 -> Partner 0: deviation=4286902.89, median=-1260051.91, threshold=3886742.48, corrected=2626690.57
[Mitigation in PlayerOptimizationMsgMitigated] Agent 5 -> Partner 0: deviation=4252462.46, median=-1333137.59, threshold=3959010.91, corrected=2625873.33
Mitigated agent 0: deviation=4320576.39, median=-1355769.82, weight=0.08, threshold=3958961.63, original=2964806.57, new=2603191.81
Mitigated agent 0: deviation=4252462.46, median=-1333137.59, weight=0.07, threshold=3959010.91, original=2919324.87, new=2625873.33
Mitigated agent 0: deviation=4333758.38, median=-1360142.53, weight=0.09, threshold=3957457.94, original=2973615.85, new=2597315.41
[Mitigation in PlayerOptimizationMsgMitigated] Agent 1 -> Partner 0: deviation=4333758.38, median=-1360142.53, threshold=3957457.94, corrected=2597315.41
[Mitigation in PlayerOptimizationMsgMitigated] Agent 2 -> Partner 4: deviation=8287250.73, median=1030815.88, threshold=7447157.58, corrected=-6416341.70
[Mitigation in PlayerOptimizationMsgMitigated] Agent 5 -> Partner 0: deviation=4236286.95, median=-1368460.34, threshold=4031230.05, corrected=2662769.72
[Mitigation in PlayerOptimizationMsgMitigated] Agent 3 -> Partner 4: deviation=6490750.21, median=879886.43, threshold=5682599.46, corrected=-4802713.03
[Mitigation in PlayerOptimizationMsgMitigated] Agent 7 -> Partner 0: deviation=4302505.25, median=-1389788.77, threshold=4031180.77, corrected=2641392.00
Mitigated agent 4: deviation=8287250.73, median=1030815.88, weight=0.10, threshold=7447157.58, original=-7256434.85, new=-6416341.70
Mitigated agent 0: deviation=4329017.74, median=-1398326.38, weight=0.07, threshold=4029665.72, original=2930691.36, new=2631339.34
Mitigated agent 4: deviation=6490750.21, median=879886.43, weight=0.12, threshold=5682599.46, original=-5610863.78, new=-4802713.03
Mitigated agent 0: deviation=4236286.95, median=-1368460.34, weight=0.05, threshold=4031230.05, original=2867826.62, new=2662769.72
[Mitigation in PlayerOptimizationMsgMitigated] Agent 7 -> Partner 0: deviation=4711524.80, median=-1263689.83, threshold=4043507.90, corrected=2779818.07
[Mitigation in PlayerOptimizationMsgMitigated] Agent 5 -> Partner 0: deviation=4676070.63, median=-1254007.48, threshold=4043557.19, corrected=2789549.71
[Mitigation in PlayerOptimizationMsgMitigated] Agent 1 -> Partner 0: deviation=4734965.39, median=-1270293.69, threshold=4041981.49, corrected=2771687.80
[Mitigation in PlayerOptimizationMsgMitigated] Agent 2 -> Partner 4: deviation=8832848.12, median=1239631.31, threshold=7122314.29, corrected=-5882682.99
Mitigated agent 0: deviation=4734965.39, median=-1270293.69, weight=0.15, threshold=4041981.49, original=3464671.70, new=2771687.80
Mitigated agent 0: deviation=4711524.80, median=-1263689.83, weight=0.14, threshold=4043507.90, original=3447834.96, new=2779818.07
Mitigated agent 0: deviation=4676070.63, median=-1254007.48, weight=0.14, threshold=4043557.19, original=3422063.14, new=2789549.71
Mitigated agent 4: deviation=8832848.12, median=1239631.31, weight=0.19, threshold=7122314.29, original=-7593216.82, new=-5882682.99
[Mitigation in PlayerOptimizationMsgMitigated] Agent 5 -> Partner 0: deviation=4676070.63, median=-1254007.48, threshold=4043557.19, corrected=2789549.71
[Mitigation in PlayerOptimizationMsgMitigated] Agent 2 -> Partner 4: deviation=9905984.35, median=1339369.42, threshold=7235303.72, corrected=-5895934.31
[Mitigation in PlayerOptimizationMsgMitigated] Agent 0 -> Partner 4: deviation=17453354.54, median=-2000832.20, threshold=12447369.88, corrected=10446537.68
[Mitigation in PlayerOptimizationMsgMitigated] Agent 4 -> Partner 0: deviation=22597488.01, median=6002110.44, threshold=2981594.90, corrected=1482612.84
[Mitigation in PlayerOptimizationMsgMitigated] Agent 7 -> Partner 0: deviation=4625793.58, median=-1202530.36, threshold=925399.21, corrected=-277131.15
[Mitigation in PlayerOptimizationMsgMitigated] Agent 6 -> Partner 0: deviation=2827411.28, median=-669762.50, threshold=927489.98, corrected=257727.48
[Mitigation in PlayerOptimizationMsgMitigated] Agent 1 -> Partner 0: deviation=4633244.64, median=-1204011.24, threshold=923861.43, corrected=-277362.31
Mitigated agent 0: deviation=926648.93, median=-1204011.24, weight=0.00, threshold=923861.43, original=-277362.31, new=-280149.80
Mitigated agent 4: deviation=9905984.35, median=1339369.42, weight=0.27, threshold=7235303.72, original=-8566614.93, new=-5895934.31
Mitigated agent 4: deviation=17453354.54, median=-2000832.20, weight=0.29, threshold=12447369.88, original=15452522.34, new=10446537.68
Mitigated agent 0: deviation=4630110.99, median=-1205661.05, weight=0.80, threshold=925448.49, original=3424449.94, new=-279638.86
